rep	theta	fst1	fst2	b2_e1	b2_e2
4	0.06540485609045843	0.6	0.25	0.9255508065229734	0.01092321681661491
4	0.06540485609045843	0.6	0.5	0.9275435182557835	0.5729295690369669
4	0.06540485609045843	0.6	0.125	0.9236003234100297	0.004386536397897449
4	0.12231507686425569	0.6	0.25	0.960940356001961	0.596557434764471
4	0.12231507686425569	0.6	0.5	0.9577145748208689	0.8442824856121788
4	0.12231507686425569	0.6	0.125	0.9608540659040119	0.0017272714765792052
4	0.22874414718712846	0.6	0.25	0.9829452704768806	0.8558418845305884
4	0.22874414718712846	0.6	0.5	0.9775149038503285	0.9285394002324772
4	0.22874414718712846	0.6	0.125	0.9824562824212263	0.5121873291317751
4	0.4277795200213573	0.6	0.25	0.9874431125789851	0.9412672181103299
4	0.4277795200213573	0.6	0.5	0.986536084074024	0.9654936930777412
4	0.4277795200213573	0.6	0.125	0.9886560913849366	0.8170860143652703
4	0.8	0.6	0.25	0.9739072782868985	0.9669648133712989
4	0.8	0.6	0.5	0.033144530363097474	0.03310670416751381
4	0.8	0.6	0.125	0.9899193500549629	0.9499869289476317
5	0.010000000000000005	0.6	0.25	0.13505035249209515	0.0003148472827650229
5	0.010000000000000005	0.6	0.5	0.01777254060633545	0.0003674686173541653
5	0.010000000000000005	0.6	0.125	0.1761433475653309	1.378544897074689e-05
5	0.01870122253538597	0.6	0.25	0.6755879725657079	0.0006268278765713738
5	0.01870122253538597	0.6	0.5	0.7006736964260032	6.942225213881268e-05
5	0.01870122253538597	0.6	0.125	0.6489217708356805	9.206266987679925e-05
5	0.03497357243180281	0.6	0.25	0.8747558109468685	0.0014547391521057287
5	0.03497357243180281	0.6	0.5	0.8504907194478764	0.0065052894905054184
5	0.03497357243180281	0.6	0.125	0.8156306218167078	0.00032461754798386756
5	0.06540485609045843	0.6	0.25	0.927582233589839	0.005334880802305662
5	0.06540485609045843	0.6	0.5	0.9155299465851334	0.454456893726385
5	0.06540485609045843	0.6	0.125	0.9376573416347073	0.005555606510080695
5	0.12231507686425569	0.6	0.25	0.9661747159766158	0.49455482244670884
5	0.12231507686425569	0.6	0.5	0.9597554205964032	0.7964294936755545
5	0.12231507686425569	0.6	0.125	0.9611706840888202	0.004507612145986586
5	0.22874414718712846	0.6	0.25	0.9789332176079543	0.7958276138318382
5	0.22874414718712846	0.6	0.5	0.9782872614778243	0.9215443815131682
5	0.22874414718712846	0.6	0.125	0.9787228716297938	0.3275530934139378
5	0.4277795200213573	0.6	0.25	0.986390656342513	0.9373512104331619
5	0.4277795200213573	0.6	0.5	0.9871381212044145	0.966617915841874
5	0.4277795200213573	0.6	0.125	0.9883475338321407	0.8632579350523696
5	0.8	0.6	0.25	0.985790252016222	0.9763527497501284
5	0.8	0.6	0.5	0.0017333307376220725	0.0016126570191397098
5	0.8	0.6	0.125	0.9880268046521794	0.9573665744928765
6	0.010000000000000005	0.6	0.25	0.15439474441348286	6.39496616036934e-05
6	0.010000000000000005	0.6	0.5	0.13447521061631812	1.0475473563734312e-05
6	0.010000000000000005	0.6	0.125	0.20003815363151664	0.00034226035881091614
6	0.01870122253538597	0.6	0.25	0.6670084808421408	0.00021057697015047
6	0.01870122253538597	0.6	0.5	0.6418211759110984	0.004818811508083573
6	0.01870122253538597	0.6	0.125	0.6565991412615589	0.0005400303111548245
6	0.03497357243180281	0.6	0.25	0.8470089980256662	0.0025081576567653283
6	0.03497357243180281	0.6	0.5	0.8549023942029482	0.041344721529074695
6	0.03497357243180281	0.6	0.125	0.860002895945807	8.662741287719616e-05
6	0.06540485609045843	0.6	0.25	0.9338668761747081	0.0008263118840036173
6	0.06540485609045843	0.6	0.5	0.9275003877352129	0.5834515546678711
6	0.06540485609045843	0.6	0.125	0.9164596485053742	6.51350434205041e-05
6	0.12231507686425569	0.6	0.25	0.9616712755873705	0.6007188478991746
6	0.12231507686425569	0.6	0.5	0.9619146485798221	0.8471945608501321
6	0.12231507686425569	0.6	0.125	0.9632343694101677	0.005717789786613594
6	0.22874414718712846	0.6	0.25	0.9823801508682992	0.8450192990932598
6	0.22874414718712846	0.6	0.5	0.9736557935156299	0.9326158813951427
6	0.22874414718712846	0.6	0.125	0.9786457657872346	0.4277653046792888
6	0.4277795200213573	0.6	0.25	0.9864327004293899	0.931140527294849
6	0.4277795200213573	0.6	0.5	0.9830694334194916	0.9643746709138233
6	0.4277795200213573	0.6	0.125	0.9896421928982329	0.8692763920706125
6	0.8	0.6	0.25	0.9873101421798144	0.9804913191380988
6	0.8	0.6	0.5	0.040009333885885505	0.039638268551692966
6	0.8	0.6	0.125	0.9893732961281099	0.9578734057081407
7	0.010000000000000005	0.6	0.25	0.28837433469185314	6.587129872086814e-05
7	0.010000000000000005	0.6	0.5	0.12456245313616886	0.0018707860344874048
7	0.010000000000000005	0.6	0.125	0.0015962402587848862	3.5221384166743285e-05
7	0.01870122253538597	0.6	0.25	0.6470183162464546	2.036808590969675e-05
7	0.01870122253538597	0.6	0.5	0.6413148730634314	0.00011546910138827595
7	0.01870122253538597	0.6	0.125	0.6764035229352493	3.5305401917221545e-05
7	0.03497357243180281	0.6	0.25	0.8475661944966022	4.866802760351114e-05
7	0.03497357243180281	0.6	0.5	0.8490301641552322	0.05839194797906574
7	0.03497357243180281	0.6	0.125	0.8724858523866782	8.280682038885127e-05
7	0.06540485609045843	0.6	0.25	0.9301020397097836	0.0038692584805895295
7	0.06540485609045843	0.6	0.5	0.930408373002937	0.5070045113466061
