expFst1 expFst2 Rep M theta L D b2PC1 b2PC2 Fst1 Fst2
0.1 0.05 A2 1000 0.1 5000 5e+06 0.99629795841779 0.98854895067884 0.1703355 0.0906382
0.1 0.01 A2 1000 0.1 5000 5e+06 0.995783383629962 0.930070079609988 0.173693 0.0198179
0.1 0.005 A2 1000 0.1 5000 5e+06 0.996227281562567 0.806285181017146 0.1765505 0.00993523
0.1 0.001 A2 1000 0.1 5000 5e+06 0.996754084088015 0.0266261758931772 0.185638 0.00136001
0.1 0.05 A2 1000 0.1 10000 1e+07 0.998184291333457 0.99407252985506 0.183404 0.094155
0.1 0.01 A2 1000 0.1 10000 1e+07 0.997797389072485 0.958576948760525 0.180383 0.0196996
0.1 0.005 A2 1000 0.1 10000 1e+07 0.998249971398489 0.908782472478689 0.1801545 0.0102096
0.1 0.001 A2 1000 0.1 10000 1e+07 0.998275182547055 0.206295369551287 0.182254 0.00205147
0.1 0.05 A2 1000 0.15 500 5e+05 0.969528720756241 0.880186333897937 0.1978175 0.074479
0.1 0.01 A2 1000 0.15 500 5e+05 0.955048670753202 0.669461517739901 0.156985 0.0191691
0.1 0.005 A2 1000 0.15 500 5e+05 0.960817755777978 0.179337401597363 0.1644 0.00880816
0.1 0.001 A2 1000 0.15 500 5e+05 0.968351033939488 0.00178352711605296 0.171016 0.00100126
0.1 0.05 A2 1000 0.15 1000 1e+06 0.977092126368905 0.936972886752327 0.1729525 0.0946496
0.1 0.01 A2 1000 0.15 1000 1e+06 0.980938574272565 0.799485260121446 0.176909 0.0204835
0.1 0.005 A2 1000 0.15 1000 1e+06 0.983243516607466 0.363177965852372 0.1914955 0.00691794
0.1 0.001 A2 1000 0.15 1000 1e+06 0.981973726701564 0.00383276703068403 0.1589265 0.00147645
0.1 0.05 A2 1000 0.15 5000 5e+06 0.994962950461952 0.988120453139643 0.176998 0.0966854
0.1 0.01 A2 1000 0.15 5000 5e+06 0.996614137141684 0.942311011928854 0.181777 0.0202336
0.1 0.005 A2 1000 0.15 5000 5e+06 0.996374514745135 0.822945342950797 0.177905 0.00910547
0.1 0.001 A2 1000 0.15 5000 5e+06 0.99631165145005 0.00856388693813855 0.169916 0.00150768
0.1 0.05 A2 1000 0.15 10000 1e+07 0.998032205380411 0.994180141592042 0.1765435 0.0928715
0.1 0.01 A2 1000 0.15 10000 1e+07 0.998204811181278 0.97205488807776 0.17698 0.0195866
0.1 0.005 A2 1000 0.15 10000 1e+07 0.998270898566606 0.916620748140457 0.184358 0.00961943
0.1 0.001 A2 1000 0.15 10000 1e+07 0.998303257752935 0.221671673723415 0.1760965 0.0017766
0.1 0.05 A2 1000 0.2 500 5e+05 0.942865099213772 0.868924171426529 0.1652425 0.0916636
0.1 0.01 A2 1000 0.2 500 5e+05 0.971065131569009 0.3097375871563 0.1858535 0.0164472
0.1 0.005 A2 1000 0.2 500 5e+05 0.969769542323951 0.369903535335853 0.190129 0.00933559
0.1 0.001 A2 1000 0.2 500 5e+05 0.962339298240578 0.000176931367832417 0.1443655 0.0012641
0.1 0.05 A2 1000 0.2 1000 1e+06 0.978350630913981 0.94050831940128 0.172493 0.0881921
0.1 0.01 A2 1000 0.2 1000 1e+06 0.985374415429903 0.774215173987544 0.1892165 0.020416
0.1 0.005 A2 1000 0.2 1000 1e+06 0.98241074521034 0.105865536225716 0.1781485 0.00827829
0.1 0.001 A2 1000 0.2 1000 1e+06 0.984743867649065 0.0110751588988803 0.174076 0.000656127
0.1 0.05 A2 1000 0.2 5000 5e+06 0.995727352679845 0.987591079464914 0.186821 0.0915981
0.1 0.01 A2 1000 0.2 5000 5e+06 0.996475577387602 0.943294418216755 0.1846315 0.0183968
0.1 0.005 A2 1000 0.2 5000 5e+06 0.996649557039049 0.885420618189325 0.1847905 0.009557
0.1 0.001 A2 1000 0.2 5000 5e+06 0.996695908295179 0.180111366960506 0.1742785 0.001767
0.1 0.05 A2 1000 0.2 10000 1e+07 0.99810811425537 0.993865721541245 0.1840535 0.0900048
0.1 0.01 A2 1000 0.2 10000 1e+07 0.998360888846595 0.967767802158339 0.182849 0.0198913
0.1 0.005 A2 1000 0.2 10000 1e+07 0.998346224802659 0.936669448077042 0.189832 0.00976672
0.1 0.001 A2 1000 0.2 10000 1e+07 0.998499831346399 0.38777765641613 0.1782275 0.00184775
0.1 0.05 A2 1000 0.25 500 5e+05 0.95391666278963 0.881175306176712 0.1725255 0.0733948
0.1 0.01 A2 1000 0.25 500 5e+05 0.97262641017077 0.648766300621039 0.1819925 0.0203397
0.1 0.005 A2 1000 0.25 500 5e+05 0.971016270746043 0.0430013008705323 0.188845 0.0100094
0.1 0.001 A2 1000 0.25 500 5e+05 0.973421192513403 0.00235836066872025 0.2055605 0.00169375
0.1 0.05 A2 1000 0.25 1000 1e+06 0.9801881156535 0.947522954310576 0.199787 0.0921701
0.1 0.01 A2 1000 0.25 1000 1e+06 0.983457047420471 0.792894046823172 0.191532 0.020596
0.1 0.005 A2 1000 0.25 1000 1e+06 0.986521182179964 0.163155114885079 0.2004575 0.00979479
0.1 0.001 A2 1000 0.25 1000 1e+06 0.983262164000686 0.00529318247882312 0.1657085 0.001401
0.1 0.05 A2 1000 0.25 5000 5e+06 0.995974728733488 0.989741478464649 0.181596 0.0932237
0.1 0.01 A2 1000 0.25 5000 5e+06 0.996478997629561 0.944820205438013 0.1725745 0.0200077
0.1 0.005 A2 1000 0.25 5000 5e+06 0.997051071831748 0.90622151902398 0.186063 0.00997983
0.1 0.001 A2 1000 0.25 5000 5e+06 0.996766401350853 0.333592664091143 0.17509 0.002059
0.1 0.05 A2 1000 0.25 10000 1e+07 0.997957164672337 0.994418307677441 0.182309 0.0970565
0.1 0.01 A2 1000 0.25 10000 1e+07 0.998238823836536 0.973068493372498 0.174947 0.019084
0.1 0.005 A2 1000 0.25 10000 1e+07 0.998466269746009 0.954821309433489 0.1864995 0.0103395
0.1 0.001 A2 1000 0.25 10000 1e+07 0.998268721607204 0.654246433730552 0.175041 0.00220043
0.1 0.05 A3 1000 0.05 500 5e+05 0.900892839132618 0.78359533255001 0.211757 0.109843
0.1 0.01 A3 1000 0.05 500 5e+05 0.951477876211681 0.0150856869334141 0.20197 0.0180156
0.1 0.005 A3 1000 0.05 500 5e+05 0.961720220403995 0.0573460211800412 0.1817595 0.00893239
0.1 0.001 A3 1000 0.05 500 5e+05 0.963695131893402 0.00535773019824903 0.179792 0.00274546
0.1 0.05 A3 1000 0.05 1000 1e+06 0.979857217885746 0.918297641238288 0.1821655 0.0791435
0.1 0.01 A3 1000 0.05 1000 1e+06 0.981478283997609 0.138552570158186 0.1770245 0.0217446
0.1 0.005 A3 1000 0.05 1000 1e+06 0.984305216728712 0.243985341523716 0.197343 0.0119268
0.1 0.001 A3 1000 0.05 1000 1e+06 0.975856707777523 0.0196175219551711 0.1838045 -0.000402814
0.1 0.05 A3 1000 0.05 5000 5e+06 0.992036763704171 0.976449629432679 0.177374 0.0898875
0.1 0.01 A3 1000 0.05 5000 5e+06 0.996253256293008 0.904103988935069 0.1812345 0.0177302
0.1 0.005 A3 1000 0.05 5000 5e+06 0.994965967990402 0.57239959126977 0.181891 0.0112487
0.1 0.001 A3 1000 0.05 5000 5e+06 0.994229674554613 0.0203975150789044 0.1805805 0.00289586
0.1 0.05 A3 1000 0.05 10000 1e+07 0.996201441406155 0.992417890482 0.1792865 0.0943705
0.1 0.01 A3 1000 0.05 10000 1e+07 0.997671302110426 0.940043739475176 0.179385 0.0182256
0.1 0.005 A3 1000 0.05 10000 1e+07 0.997881453571845 0.810490880669976 0.180339 0.0110481
0.1 0.001 A3 1000 0.05 10000 1e+07 0.997606657227456 0.0674970123595044 0.1815515 0.00126094
0.1 0.05 A3 1000 0.1 500 5e+05 0.947911291464532 0.832334807278823 0.1830435 0.0871167
0.1 0.01 A3 1000 0.1 500 5e+05 0.959954338896004 0.36439439579049 0.1772205 0.0243707
0.1 0.005 A3 1000 0.1 500 5e+05 0.976710173248936 0.0268146869478855 0.218896 0.00970182
0.1 0.001 A3 1000 0.1 500 5e+05 0.973646215339304 0.0283684661394737 0.209565 0.00234869
0.1 0.05 A3 1000 0.1 1000 1e+06 0.976645405301154 0.947895090688922 0.169316 0.0993081
0.1 0.01 A3 1000 0.1 1000 1e+06 0.981352326404331 0.663551224436979 0.199413 0.0240254
0.1 0.005 A3 1000 0.1 1000 1e+06 0.980412776809268 0.433670062237201 0.177534 0.00955457
0.1 0.001 A3 1000 0.1 1000 1e+06 0.985600572470917 0.005963830950622 0.1619785 0.00297798
0.1 0.05 A3 1000 0.1 5000 5e+06 0.993466099554115 0.982216038301697 0.1841925 0.0993809
0.1 0.01 A3 1000 0.1 5000 5e+06 0.996364505464653 0.934783955721908 0.186082 0.0183251
0.1 0.005 A3 1000 0.1 5000 5e+06 0.99643006797175 0.791098550532584 0.1892465 0.00995488
0.1 0.001 A3 1000 0.1 5000 5e+06 0.996994135567272 0.0326661392634246 0.185026 0.00211681
0.1 0.05 A3 1000 0.1 10000 1e+07 0.997784032686996 0.993981263653488 0.18242 0.0986683
0.1 0.01 A3 1000 0.1 10000 1e+07 0.998128027959341 0.959986602095684 0.1857265 0.0207795
0.1 0.005 A3 1000 0.1 10000 1e+07 0.998430300537159 0.908432111000703 0.1822735 0.0102492
0.1 0.001 A3 1000 0.1 10000 1e+07 0.998468496291014 0.0579754586594742 0.18524 0.00220045
0.1 0.05 A3 1000 0.15 500 5e+05 0.94806188192963 0.88290298176808 0.162051 0.0775845
0.1 0.01 A3 1000 0.15 500 5e+05 0.963136255782981 0.457505487363908 0.174961 0.0209189
0.1 0.005 A3 1000 0.15 500 5e+05 0.970379055299889 0.215724342479432 0.1847325 0.0102482
0.1 0.001 A3 1000 0.15 500 5e+05 0.967729479928221 0.000978331657041152 0.165606 0.00457887
0.1 0.05 A3 1000 0.15 1000 1e+06 0.975463788777796 0.924436365543481 0.1896705 0.0868377
0.1 0.01 A3 1000 0.15 1000 1e+06 0.981495288270636 0.660637348914429 0.1779625 0.0172584
0.1 0.005 A3 1000 0.15 1000 1e+06 0.98260170044006 0.56695949800717 0.194497 0.0131172
0.1 0.001 A3 1000 0.15 1000 1e+06 0.98376920072405 0.0280294332520325 0.188034 0.00116213
0.1 0.05 A3 1000 0.15 5000 5e+06 0.99585808522201 0.98640062285114 0.1834 0.0868182
0.1 0.01 A3 1000 0.15 5000 5e+06 0.996536618178604 0.948070460986489 0.185924 0.0209248
0.1 0.005 A3 1000 0.15 5000 5e+06 0.996677087783232 0.867144138914061 0.1793485 0.0107135
0.1 0.001 A3 1000 0.15 5000 5e+06 0.996460783685807 0.0235158759637839 0.174183 0.00184522
0.1 0.05 A3 1000 0.15 10000 1e+07 0.997936401503317 0.993322784336564 0.182947 0.0892474
0.1 0.01 A3 1000 0.15 10000 1e+07 0.998165642371229 0.968459273581802 0.1795935 0.0189574
0.1 0.005 A3 1000 0.15 10000 1e+07 0.998347329737691 0.929335220133507 0.178108 0.00988811
0.1 0.001 A3 1000 0.15 10000 1e+07 0.998376178009215 0.118685444683254 0.1818645 0.00164467
0.1 0.05 A3 1000 0.2 500 5e+05 0.96572466618301 0.897201200277682 0.171938 0.101455
0.1 0.01 A3 1000 0.2 500 5e+05 0.968346303962109 0.670731756411149 0.172856 0.0224858
0.1 0.005 A3 1000 0.2 500 5e+05 0.970715439395388 0.149460821094179 0.1894245 0.0116982
0.1 0.001 A3 1000 0.2 500 5e+05 0.968371994125855 0.0199273096830278 0.187317 0.00250409
0.1 0.05 A3 1000 0.2 1000 1e+06 0.97920081923093 0.94985266083604 0.163526 0.0880485
0.1 0.01 A3 1000 0.2 1000 1e+06 0.982611292604274 0.775191441727719 0.1799915 0.0168441
0.1 0.005 A3 1000 0.2 1000 1e+06 0.982916654769407 0.0381570027299553 0.1768375 0.00802906
0.1 0.001 A3 1000 0.2 1000 1e+06 0.984596561189424 0.0122060575194189 0.186139 0.00129471
0.1 0.05 A3 1000 0.2 5000 5e+06 0.994211673497557 0.985130262665448 0.186457 0.0962522
0.1 0.01 A3 1000 0.2 5000 5e+06 0.997100793598338 0.950188871242386 0.1842695 0.0187131
0.1 0.005 A3 1000 0.2 5000 5e+06 0.996334064388172 0.888431463307824 0.1747795 0.00973157
0.1 0.001 A3 1000 0.2 5000 5e+06 0.996761673870016 0.00363066882545295 0.195319 0.00241812
0.1 0.05 A3 1000 0.2 10000 1e+07 0.997931022077139 0.993699349828332 0.175806 0.0924334
0.1 0.01 A3 1000 0.2 10000 1e+07 0.998302887352692 0.976361577354832 0.1816335 0.0196768
0.1 0.005 A3 1000 0.2 10000 1e+07 0.998525350900578 0.951358675721922 0.183094 0.0103724
0.1 0.001 A3 1000 0.2 10000 1e+07 0.998392842996025 0.367584192434405 0.181371 0.00163315
0.1 0.05 A3 1000 0.25 500 5e+05 0.965661504857912 0.906328726826436 0.195487 0.0940544
0.1 0.01 A3 1000 0.25 500 5e+05 0.962796061083844 0.685248285315039 0.159963 0.0221383
0.1 0.005 A3 1000 0.25 500 5e+05 0.970304945599256 0.286910165799747 0.1918245 0.00887083
0.1 0.001 A3 1000 0.25 500 5e+05 0.968328985100392 0.0214934646382096 0.1659925 0.000640531
0.1 0.05 A3 1000 0.25 1000 1e+06 0.976957306153758 0.940258045326031 0.1745375 0.0952735
